extraction_index,icon_id,offset,width,height,status
0,?,0x066560,102,115,broken
1,1,0x066b8f,20,20,correct
2,?,0x0674a2,102,115,broken
3,3,0x06747f,20,20,correct
4,?,0x0683e4,102,115,broken
5,?,0x069158,102,115,broken
6,6,0x06c6d3,20,20,correct
7,7,0x06ca07,20,20,correct
8,8,0x06cd3b,20,20,correct
9,9,0x06d06f,20,20,correct
10,10,0x06d3a3,20,20,correct
11,11,0x06d8a2,20,20,correct
12,12,0x06df0a,20,20,correct
13,13,0x06e23e,20,20,correct
14,14,0x06e572,20,20,correct
15,15,0x06e8a6,20,20,correct
16,16,0x06ee0e,20,20,correct
17,17,0x06f142,20,20,correct
18,18,0x06f476,20,20,correct
19,?,0x06f3d3,68,64,broken
20,?,0x06fc71,68,64,broken
21,?,0x07054e,68,64,broken
22,22,0x07077c,20,20,correct
23,?,0x071621,68,64,broken
24,24,0x071057,20,20,correct
25,25,0x07138b,20,20,correct
26,26,0x0716bf,20,20,correct
27,27,0x0719f3,20,20,correct
28,28,0x071d27,20,20,correct
29,29,0x07205b,20,20,correct
30,30,0x0729da,20,20,correct
31,31,0x072d0e,20,20,correct
32,32,0x073042,20,20,correct
33,33,0x073376,20,20,correct
34,34,0x0736aa,20,20,correct
35,35,0x0739de,20,20,correct
36,36,0x073d12,20,20,correct
37,37,0x074046,20,20,correct
38,38,0x07437a,20,20,correct
39,39,0x0746ae,20,20,correct
40,40,0x0749e2,20,20,correct
41,41,0x074d16,20,20,correct
42,42,0x07504a,20,20,correct
43,43,0x07537e,20,20,correct
44,44,0x0756b2,20,20,correct
45,45,0x0759e6,20,20,correct
46,46,0x075d1a,20,20,correct
47,47,0x07604e,20,20,correct
48,?,0x077325,5,240,broken
49,?,0x078f2a,12,240,broken
50,?,0x07a8c6,84,240,broken
51,?,0x07b2b5,79,240,broken
52,?,0x07bc84,74,240,broken
53,?,0x678254,20,20,broken
54,?,0x678588,20,20,broken
55,?,0x6788bc,20,20,broken
56,?,0x678bf0,20,20,broken
57,?,0x679bf4,20,20,broken
58,?,0x679f28,20,20,broken
59,?,0x67a25c,20,20,broken
60,?,0x67a590,20,20,broken
61,?,0x71027e,13,240,broken
62,?,0x711e28,14,20,broken
63,?,0x712158,1,240,broken
